date,return,var99_sv_mean,var99_sv_lo,var99_sv_hi,var99_garch
2024-08-20,-0.1986527237609709,-2.305452090344236,-4.057606506984035,-1.2733283093117476,-3.7817135922106666
2024-08-21,0.4230714721006796,-2.2251984445512036,-3.6620291235724696,-1.2618011295229745,-3.4794676853533963
2024-08-22,-0.8972942256657219,-2.1769849211300016,-3.6433382431301142,-1.2287876259276622,-3.215908497289577
2024-08-23,1.141793740166443,-2.1811067732000495,-3.6301842177783996,-1.1769387481432274,-3.21891507947553
2024-08-26,-0.3158710169605814,-2.1436190194302207,-3.5865351242676033,-1.2386226933044198,-3.255240997520296
2024-08-27,0.1593925112723203,-2.092694747868475,-3.5187666012686973,-1.1877931771694616,-3.031500222610545
2024-08-28,-0.5993900794735212,-2.107419572574531,-3.5672724442342707,-1.1475950418797078,-2.7851303057305943
2024-08-29,-0.0039379843436586,-2.14717795630571,-3.5473715894189692,-1.194228625042819,-2.715684663128507
2024-08-30,1.004245707914417,-2.2040848313871746,-3.6717487688859194,-1.2614296651077197,-2.5035864334254554
2024-09-03,-2.1377963372397697,-2.2989515355739742,-3.8587073822862545,-1.3833120107036168,-2.598343199437689
2024-09-04,-0.1603829027380963,-2.391476302959163,-3.9139627617270394,-1.4111333241307056,-3.767929647614257
2024-09-05,-0.3022581014674196,-2.312418009255285,-3.829709957878249,-1.36576390564655,-3.4620106345816377
2024-09-06,-1.7410944507424406,-2.3061393663577663,-3.7921170371231017,-1.297476697307565,-3.212030152767616
2024-09-09,1.1513534435818251,-2.341978880828181,-3.883257461672476,-1.3679873996593521,-3.795701036230097
2024-09-10,0.4462699977793541,-2.2708426503466996,-3.9126123889256332,-1.2886119775698255,-3.738300529449571
2024-09-11,1.060855564984334,-2.181220406494881,-3.603545824295084,-1.2444427159594065,-3.45112841787708
2024-09-12,0.746735215680267,-2.0739500297523144,-3.300262822513465,-1.1695430256689394,-3.4055116384695023
2024-09-13,0.5393142234356035,-1.9777600576441985,-3.1013035481917393,-1.1553749422971313,-3.2353442560585206
2024-09-16,0.1255840867310285,-1.8847090678053076,-3.121383881294686,-1.0405262905178576,-3.023997910773147
2024-09-17,0.026451509389645,-1.8224813173277135,-3.014870564180189,-1.0136266440138457,-2.7773290789571816
2024-09-18,-0.2900658708313291,-1.7835127996955225,-3.030431870482548,-1.0020140948995162,-2.5571229522129313
2024-09-19,1.6834356892725129,-1.772766034013074,-2.950630488756321,-1.0303331604173271,-2.4101098671245382
2024-09-20,-0.1942913630015734,-1.7864835816137201,-3.0025733463745845,-1.0423910725104553,-3.0432610008849665
2024-09-23,0.2805334425713122,-1.6729262588345042,-2.815533105568782,-0.9393175441546249,-2.8188336170815136
2024-09-24,0.2508031103345345,-1.5786246024275292,-2.7029684510246637,-0.9069257547489049,-2.6046802789757955
2024-09-25,-0.1862983206212128,-1.5164776956325017,-2.7574260382436426,-0.8461550201655489,-2.410250904221588
2024-09-26,0.4030542158199222,-1.4674007112899572,-2.615331818915267,-0.7805023195520674,-2.2564991060935395
2024-09-27,-0.1254002900072123,-1.463302648749112,-2.4909974208598347,-0.7870368337958541,-2.129593495240411
2024-09-30,0.4227603658441509,-1.4665513540746942,-2.546464919351098,-0.7838359150560665,-1.997721324614449
2024-10-01,-0.9367848694454448,-1.4957684871229944,-2.5309647801017263,-0.8182521292392488,-1.910112559587879
2024-10-02,0.0138381326986477,-1.5398573581200987,-2.600871299459782,-0.8521730050016066,-2.2255391195806813
2024-10-03,-0.1682828654458689,-1.522636531810956,-2.47230710663118,-0.8422651397602114,-2.065620830018568
2024-10-04,0.8930255699186382,-1.580665559903193,-2.699346849975027,-0.9134477846470389,-1.9503329406669625
2024-10-07,-0.9632263829388772,-1.6150138211535272,-2.681069133070094,-0.9677151700134484,-2.094878035903027
2024-10-08,0.9642706804694384,-1.6592177079154309,-2.7537142059657427,-0.9770932725949295,-2.379274889166355
2024-10-09,0.7088231016994585,-1.6534337112114372,-2.720017703621209,-1.0170327639525132,-2.475497684430597
2024-10-10,-0.2072268505982484,-1.6203821245656045,-2.766545397810102,-0.957821982821596,-2.4228330198650627
2024-10-11,0.603360870729872,-1.5715498873028193,-2.556881773486199,-0.9386483117261204,-2.2720504680784255
2024-10-14,0.7678114574594324,-1.5647012082724614,-2.557522801482655,-0.9178951659732986,-2.207115330024776
2024-10-15,-0.7638566037513421,-1.5506531758980342,-2.5810881005075332,-0.8973544760128445,-2.2272392995845727
2024-10-16,0.4668232782779766,-1.515495010223573,-2.546835057850574,-0.8819508747832497,-2.3437046015764573
2024-10-17,-0.0171175128538166,-1.4767344273487693,-2.5905590808633203,-0.8005897561092684,-2.2225908340659144
2024-10-18,0.3963686942774387,-1.4313122728954948,-2.500214925073843,-0.7689500818874629,-2.0653299862137393
2024-10-21,-0.1824432756419033,-1.4190835133491324,-2.4458803840790395,-0.7969631277356841,-1.9613539719502704
2024-10-22,-0.0474966667195793,-1.413427226280342,-2.462788748096697,-0.7478022080973336,-1.862849507472548
2024-10-23,-0.9233824267679565,-1.4328266873616506,-2.5104822201804544,-0.7947432880254032,-1.7512816836254306
2024-10-24,0.2143473130556828,-1.474141949566352,-2.53000719202579,-0.8106680879284279,-2.1030448064432097
2024-10-25,-0.029949201318627,-1.4863018741264942,-2.565868889010267,-0.8100212042926318,-1.9610143759347247
2024-10-28,0.2647934626732945,-1.5330871333854512,-2.7579428787763582,-0.8061605580577368,-1.8354098874542084
2024-10-29,0.1612825944901219,-1.604256424274576,-2.636806818279827,-0.8490507708304119,-1.7326274360533265
2024-10-30,-0.3305691672488118,-1.709966911000036,-2.943594419248305,-0.9270988619262208,-1.6302329311432402
2024-10-31,-1.8790134928745348,-1.8389971145113355,-3.1076159414726043,-1.0564716969157126,-1.630964711354005
2024-11-01,0.4084158004525459,-2.0168629316009263,-3.234731678758422,-1.2037601091749883,-2.9846115468529537
2024-11-04,-0.2816044813190291,-2.0461907630657583,-3.3658629041168617,-1.238941138320229,-2.7726712843139305
2024-11-05,1.2191031029563082,-2.1320264878397017,-3.470695151722803,-1.286294255153322,-2.5971849745801907
2024-11-06,2.4981280957186653,-2.2255224828711944,-3.6028084401623945,-1.325827986791869,-2.8090881504562666
2024-11-07,0.7403754173995657,-2.301175081455743,-3.684871492917485,-1.4287925302073397,-4.070586109006105
2024-11-08,0.3749794035718046,-2.1102828037669443,-3.3084802770642843,-1.271799483743391,-3.815362811991902
2024-11-11,0.0968594190956923,-1.9522519879569735,-3.2182061993274482,-1.1350470888682602,-3.5089188241993665
2024-11-12,-0.2896851476936499,-1.8127280154609136,-3.0179744585458383,-1.0145720845066988,-3.2130264886369235
2024-11-13,0.0232200764140183,-1.7372565349217666,-2.926263137284003,-1.0237815552083995,-2.9882586028486053
2024-11-14,-0.6068108582244001,-1.6742249729688996,-2.9069166473031456,-0.9456677641416895,-2.746287403547215
2024-11-15,-1.3291430866793768,-1.6691792114148576,-2.7915765570276223,-0.9183501616955178,-2.6860683005313972
2024-11-18,0.3910159746206537,-1.6634577135806534,-2.7498234479730037,-0.9294513485070747,-3.089337472118224
2024-11-19,0.3955750520596487,-1.5524202474538402,-2.5971253363163043,-0.8613663220247634,-2.8625177563408877
2024-11-20,0.0021950621335444,-1.4798608736649916,-2.6274121952881444,-0.8063882018807187,-2.6618483403649873
2024-11-21,0.5326251844288491,-1.4022392091663576,-2.414472494634649,-0.7758638692014235,-2.455080216469932
2024-11-22,0.3461959591536465,-1.3661587782418283,-2.200876801885913,-0.7185586461319682,-2.3391417135181056
2024-11-25,0.3015927820124541,-1.3359333325846856,-2.263090319704276,-0.7245971283020173,-2.1895198812886547
2024-11-26,0.5705697155263866,-1.2977388114703827,-2.2404071898918745,-0.7374605707177757,-2.049501724072295
2024-11-27,-0.3808481083577711,-1.3081577001305695,-2.233567379863563,-0.7024047163411423,-2.005634407576819
2024-11-29,0.5592120396801623,-1.2716969987435691,-2.1441905698208386,-0.6803323406085465,-1.9653281956090431
2024-12-02,0.2445463880581373,-1.2849751504782623,-2.1778694362943294,-0.7050793544847456,-1.930140726074065
2024-12-03,0.0451347242022181,-1.2724637049463134,-2.141350799430605,-0.7117246249719134,-1.8124339293819631
2024-12-04,0.603318162813612,-1.2779003875347545,-2.178782382999329,-0.6970381368521482,-1.6988067301415806
2024-12-05,-0.1871525839382334,-1.3285082915312731,-2.2510392761592457,-0.708670661013245,-1.7293398308238173
2024-12-06,0.2492345367538312,-1.3712099801601816,-2.385920122875229,-0.7418106272947085,-1.6638298157833933
2024-12-09,-0.6163167285227462,-1.414590169592821,-2.4372748885568267,-0.7603901750395174,-1.5806715423918962
2024-12-10,-0.2968284314279252,-1.490315803336216,-2.5276618639425816,-0.8218810688734856,-1.7506212826483496
2024-12-11,0.8132626411368236,-1.5466837907838231,-2.595551370060297,-0.82596049680336,-1.7178178607307384
